HTSUS CODE,DESCRIPTION,Duty,Which List?,Information,Additional HTSUS
2845.90.00,Isotopes not in heading 2844 and their compounds other than heavy water,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.01
4011.30.00,"New pneumatic tires, of rubber, of a kind used on aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.02
4012.13.00,"Retreaded pneumatic tires, of rubber, of a kind used on aircraft",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.03
8401.10.00,Nuclear reactors,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.04
8401.20.00,"Machinery and apparatus for isotopic separation, and parts thereof",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.05
8401.30.00,"Fuel elements (cartridges), non-irradiated and parts thereof",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.06
8401.40.00,Parts of nuclear reactors,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.07
8402.11.00,Watertube boilers with a steam production exceeding 45 tons per hour,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.08
8402.12.00,Watertube boilers with a steam production not exceeding 45 tons per hour,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.09
8402.19.00,"Vapor-generating boilers, including hybrid boilers, other than watertube boilers",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.10
8402.20.00,Super-heated water boilers,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.11
8402.90.00,"Parts of steam- or other vapor-generating boilers

EXCLUSIONS AVAILABLE: 
See the full list of exclusions below.",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.12
8404.20.00,Condensers for steam or other vapor power units,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.13
8404.90.00,Parts for auxiliary plant for use with boilers of heading 8402 and 8403 and condensers for steam or vapor power units,25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.14
8405.10.00,"Producer gas or water gas generators, acetylene gas generators and similar water process gas generators; with or without their purifiers",25%,"Yes, List 1","As of July 6, 2018, an additional tariff of 25% has been imposed on commodities included on List 1. This list Contains 818 items valued at $34 billion worth of imports from China. If your imported commodity's HTSUS code is included on this list, you may be subject to the higher tariff. This tariff rate was due to increase to 30% on October 15, 2019, but as per an agreement reached on Friday, October 11th, they will not increase. Tariffs on List 1 will remain at 25% unless a Federal Register notice is published announcing an increase. There is no such notice at this time.

If you are importing one of these commodities, keep a close eye on the news and be prepared to potentially have to increase your bond size.",9903.88.15
