Item,Description,Supplier,Unit Cost,Annual Forecast,Base Raw Material,% Metal Content,"Type (Raw, Derivative, Industrial)",Foreign or US Material,Country of Origin,HTS CODE
5005319, 12 IN STICK HANGING CANVAS BK ,"IQ Accessories, Inc",$4.92,"4,714",Wood,0,,,China,4414.10.00
5005320, 15 IN STICK HANGING CANVAS BK ,"IQ Accessories, Inc",$5.18,"3,771",Wood,0,,,China,4414.10.00
5005321, 17 IN STICK HANGING CANVAS BK ,"IQ Accessories, Inc",$5.85,"10,195",Wood,0,,,China,4414.10.00
5005322, 21 IN STICK HANGING CANVAS BK ,"IQ Accessories, Inc",$6.25,"9,092",Wood,0,,,China,4414.10.00
5005323, 12IN STICK HANGING CANVAS NATURAL ,"IQ Accessories, Inc",$4.92,"2,693",Wood,0,,,China,4414.10.00
5005324, 15IN STICK HANGING CANVAS NATURAL ,"IQ Accessories, Inc",$5.18,"2,289",Wood,0,,,China,4414.10.00
5005325, 17IN STICK HANGING CANVAS NATURAL ,"IQ Accessories, Inc",$5.85,"3,582",Wood,0,,,China,4414.10.00
5005326, 21IN STICK HANGING CANVAS NATURAL ,"IQ Accessories, Inc",$6.25,"4,684",Wood,0,,,China,4414.10.00
5005503, Silver Stand Offs 4 pack ,Bigger Printing Group LTD,$2.40,"6,000",Aluminum,100,Raw,Foreign,China,7616.99.51
5005504, Brass Stand Offs 4 pack ,Bigger Printing Group LTD,$2.40,"8,000",Aluminum,100,Raw,Foreign,China,7616.99.51
5005505, Black Stand Offs 4 pack ,Bigger Printing Group LTD,$2.40,"6,000",Aluminum,100,Raw,Foreign,China,7616.99.51
130-1123-00, Stretcher Bar Canvas Auto 8 in ,Tara Materials Inc,$0.45,"55,040",Wood,0,,,Mexico,4409.10.90
130-1122-00, Stretcher Bar Canvas Auto 36 in ,Tara Materials Inc,$2.17,"46,258",Wood,0,,,Mexico,4409.10.90
130-1121-00, Stretcher Bar Canvas Auto 30 in ,Tara Materials Inc,$1.83,"25,034",Wood,0,,,Mexico,4409.10.90
130-1120-00, Stretcher Bar Canvas Auto 24 in ,Tara Materials Inc,$1.48,"124,870",Wood,0,,,Mexico,4409.10.90
130-1119-00, Stretcher Bar Canvas Auto 20 in ,Tara Materials Inc,$0.89,"280,160",Wood,0,,,Mexico,4409.10.90
130-1118-00, Stretcher Bar Canvas Auto 16 in ,Tara Materials Inc,$0.76,"213,202",Wood,0,,,Mexico,4409.10.90
130-1117-00, Stretcher Bar Canvas Auto 14 in ,Tara Materials Inc,$0.69,"37,913",Wood,0,,,Mexico,4409.10.90
130-1116-00, Stretcher Bar Canvas Auto 12 in ,Tara Materials Inc,$0.62,"36,115",Wood,0,,,Mexico,4409.10.90
130-1115-00, Stretcher Bar Canvas Auto 10 in ,Tara Materials Inc,$0.54,"138,417",Wood,0,,,Mexico,4409.10.90
40-1115-01, Ribbon Red TP Ornament 625inx21in 100 s ,Royal Case Company,$0.02,"2,234,974",Polyester,0,,,China,6307.90.98
5004381, Luggage Tag Loop 9in ,Royal Case Company,$0.07,"134,262",plastic,0,,,China,3926.90.99
140-1221-00, Pouch Gray SFLY Ornament 4 in x 6 in ,Royal Case Company,$0.138,"2,244,462",Polyester,0,,,China,6307.90.98
140-1022-00, Mug Travel SS 20 oz Vacuum ,Photo USA Corp,$3.79,"4,072",Stainless Steel,100,Raw,Foreign,China,7323.93.00
41-1101-01, Mouse Pad Rounded 925x775x55mm ,"MPD Holdings, Inc",$0.78,"193,244",Open cellular spong rubber,0,,,Taiwan,8473.30.51
5004031, Frame Metal-Mounted WT 8x10 ,Universal Arquati,$7.83,207,Wood,0,,,Indonesia,4421.99.98
5004037, Frame Metal-Mounted WT 24x36 ,Universal Arquati,$17.52,167,Wood,0,,,Indonesia,4421.99.98
5004034, Frame Metal-Mounted WT 20x30 ,Universal Arquati,$15.65,178,Wood,0,,,Indonesia,4421.99.98
5004032, Frame Metal-Mounted WT 16x20 ,Universal Arquati,$12.18,215,Wood,0,,,Indonesia,4421.99.98
5004035, Frame Metal-Mounted WT 16x16 ,Universal Arquati,$11.13,155,Wood,0,,,Indonesia,4421.99.98
5004038, Frame Metal-Mounted WT 12x36 ,Universal Arquati,$14.29,102,Wood,0,,,Indonesia,4421.99.98
5004036, Frame Metal-Mounted WT 12x12 ,Universal Arquati,$9.12,109,Wood,0,,,Indonesia,4421.99.98
5004033, Frame Metal-Mounted WT 10x14 ,Universal Arquati,$9.12,231,Wood,0,,,Indonesia,4421.99.98
5004023, Frame Metal-Mounted Walnut 8x10 ,Universal Arquati,$8.30,793,Wood,0,,,Indonesia,4421.99.98
5004029, Frame Metal-Mounted Walnut 24x36 ,Universal Arquati,$18.86,373,Wood,0,,,Indonesia,4421.99.98
5004026, Frame Metal-Mounted Walnut 20x30 ,Universal Arquati,$16.79,398,Wood,0,,,Indonesia,4421.99.98
5004024, Frame Metal-Mounted Walnut 16x20 ,Universal Arquati,$13.02,575,Wood,0,,,Indonesia,4421.99.98
